time,service,transaction_count_to_nofep
2019-03-08T17:03:00Z,Passenger Service System,959033
2019-03-08T17:04:00Z,Passenger Service System,971795
2019-03-08T17:05:00Z,Passenger Service System,965744
2019-03-08T17:06:00Z,Passenger Service System,964746
2019-03-08T17:07:00Z,Passenger Service System,957799
2019-03-08T17:08:00Z,Passenger Service System,946624
2019-03-08T17:09:00Z,Passenger Service System,939997
2019-03-08T17:10:00Z,Passenger Service System,954578
2019-03-08T17:11:00Z,Passenger Service System,963507
2019-03-08T17:12:00Z,Passenger Service System,969949
2019-03-08T17:13:00Z,Passenger Service System,962105
2019-03-08T17:14:00Z,Passenger Service System,942694
2019-03-08T17:15:00Z,Passenger Service System,975457
2019-03-08T17:16:00Z,Passenger Service System,968094
2019-03-08T17:17:00Z,Passenger Service System,952893
2019-03-08T17:18:00Z,Passenger Service System,959165
2019-03-08T17:19:00Z,Passenger Service System,953489
2019-03-08T17:20:00Z,Passenger Service System,955515
2019-03-08T17:21:00Z,Passenger Service System,954971
2019-03-08T17:22:00Z,Passenger Service System,958632
2019-03-08T17:23:00Z,Passenger Service System,949007
2019-03-08T17:24:00Z,Passenger Service System,950372
2019-03-08T17:25:00Z,Passenger Service System,967849
2019-03-08T17:26:00Z,Passenger Service System,932977
2019-03-08T17:27:00Z,Passenger Service System,943013
2019-03-08T17:28:00Z,Passenger Service System,937872
2019-03-08T17:29:00Z,Passenger Service System,942231
2019-03-08T17:30:00Z,Passenger Service System,948170
2019-03-08T17:31:00Z,Passenger Service System,934669
2019-03-08T17:32:00Z,Passenger Service System,916994
2019-03-08T17:33:00Z,Passenger Service System,925389
2019-03-08T17:34:00Z,Passenger Service System,928365
2019-03-08T17:35:00Z,Passenger Service System,924698
2019-03-08T17:36:00Z,Passenger Service System,961621
2019-03-08T17:37:00Z,Passenger Service System,984288
2019-03-08T17:38:00Z,Passenger Service System,960250
2019-03-08T17:39:00Z,Passenger Service System,948971
2019-03-08T17:40:00Z,Passenger Service System,927716
2019-03-08T17:41:00Z,Passenger Service System,906333
2019-03-08T17:42:00Z,Passenger Service System,916549
2019-03-08T17:43:00Z,Passenger Service System,905697
2019-03-08T17:44:00Z,Passenger Service System,897639
2019-03-08T17:45:00Z,Passenger Service System,898396
2019-03-08T17:46:00Z,Passenger Service System,908737
2019-03-08T17:47:00Z,Passenger Service System,905754
2019-03-08T17:48:00Z,Passenger Service System,934262
2019-03-08T17:49:00Z,Passenger Service System,922143
2019-03-08T17:50:00Z,Passenger Service System,909189
2019-03-08T17:51:00Z,Passenger Service System,926182
2019-03-08T17:52:00Z,Passenger Service System,902947
2019-03-08T17:53:00Z,Passenger Service System,886486
2019-03-08T17:54:00Z,Passenger Service System,907361
2019-03-08T17:55:00Z,Passenger Service System,898390
2019-03-08T17:56:00Z,Passenger Service System,898184
2019-03-08T17:57:00Z,Passenger Service System,908275
2019-03-08T17:58:00Z,Passenger Service System,896167
2019-03-08T17:59:00Z,Passenger Service System,876364
2019-03-08T18:00:00Z,Passenger Service System,898270
2019-03-08T18:01:00Z,Passenger Service System,928494
2019-03-08T18:02:00Z,Passenger Service System,934948
2019-03-08T18:03:00Z,Passenger Service System,937845
2019-03-08T18:04:00Z,Passenger Service System,917758
2019-03-08T18:05:00Z,Passenger Service System,890479
2019-03-08T18:06:00Z,Passenger Service System,949264
2019-03-08T18:07:00Z,Passenger Service System,923104
2019-03-08T18:08:00Z,Passenger Service System,892487
2019-03-08T18:09:00Z,Passenger Service System,900603
2019-03-08T18:10:00Z,Passenger Service System,908103
2019-03-08T18:11:00Z,Passenger Service System,915272
2019-03-08T18:12:00Z,Passenger Service System,915672
2019-03-08T18:13:00Z,Passenger Service System,897252
2019-03-08T18:14:00Z,Passenger Service System,885256
2019-03-08T18:15:00Z,Passenger Service System,923232
2019-03-08T18:16:00Z,Passenger Service System,936336
2019-03-08T18:17:00Z,Passenger Service System,901029
2019-03-08T18:18:00Z,Passenger Service System,897014
2019-03-08T18:19:00Z,Passenger Service System,899213
2019-03-08T18:20:00Z,Passenger Service System,888534
2019-03-08T18:21:00Z,Passenger Service System,914076
2019-03-08T18:22:00Z,Passenger Service System,909628
2019-03-08T18:23:00Z,Passenger Service System,874237
2019-03-08T18:24:00Z,Passenger Service System,910679
2019-03-08T18:25:00Z,Passenger Service System,966795
2019-03-08T18:26:00Z,Passenger Service System,946542
2019-03-08T18:27:00Z,Passenger Service System,950381
2019-03-08T18:28:00Z,Passenger Service System,930856
2019-03-08T18:29:00Z,Passenger Service System,882990
2019-03-08T18:30:00Z,Passenger Service System,918955
2019-03-08T18:31:00Z,Passenger Service System,924363
2019-03-08T18:32:00Z,Passenger Service System,914605
2019-03-08T18:33:00Z,Passenger Service System,893857
2019-03-08T18:34:00Z,Passenger Service System,909991
2019-03-08T18:35:00Z,Passenger Service System,894557
2019-03-08T18:36:00Z,Passenger Service System,909322
2019-03-08T18:37:00Z,Passenger Service System,885730
2019-03-08T18:38:00Z,Passenger Service System,880235
2019-03-08T18:39:00Z,Passenger Service System,896865
2019-03-08T18:40:00Z,Passenger Service System,914140
2019-03-08T18:41:00Z,Passenger Service System,891183
2019-03-08T18:42:00Z,Passenger Service System,915238
2019-03-08T18:43:00Z,Passenger Service System,908855
2019-03-08T18:44:00Z,Passenger Service System,906905
2019-03-08T18:45:00Z,Passenger Service System,914390
2019-03-08T18:46:00Z,Passenger Service System,914775
2019-03-08T18:47:00Z,Passenger Service System,896546
2019-03-08T18:48:00Z,Passenger Service System,892744
2019-03-08T18:49:00Z,Passenger Service System,887695
2019-03-08T18:50:00Z,Passenger Service System,882725
2019-03-08T18:51:00Z,Passenger Service System,903237
2019-03-08T18:52:00Z,Passenger Service System,890483
2019-03-08T18:53:00Z,Passenger Service System,887298
2019-03-08T18:54:00Z,Passenger Service System,883626
2019-03-08T18:55:00Z,Passenger Service System,908836
2019-03-08T18:56:00Z,Passenger Service System,901055
2019-03-08T18:57:00Z,Passenger Service System,898316
2019-03-08T18:58:00Z,Passenger Service System,883481
2019-03-08T18:59:00Z,Passenger Service System,854056
2019-03-08T19:00:00Z,Passenger Service System,928083
2019-03-08T19:01:00Z,Passenger Service System,937718
2019-03-08T19:02:00Z,Passenger Service System,914603
2019-03-08T19:03:00Z,Passenger Service System,906058
2019-03-08T19:04:00Z,Passenger Service System,901537
