"time","ci","metric.mean_avg_processing_time","metric.mean_count","metric.mean_error_count","metric.mean_error_rate"
"2019-12-03T18:14:00.000Z","ANCS Ancillary Services 1","6",,,
"2019-12-03T18:14:00.000Z","CENTIVA","45",,"17",
"2019-12-03T18:14:00.000Z","CKI Check-In Services","220",,"1378",
"2019-12-03T18:14:00.000Z","CKI Event Manager","588",,"16",
"2019-12-03T18:14:00.000Z","CKI Host Event Handler","224",,"0",
"2019-12-03T18:14:00.000Z","Community Portal","21",,"14",
"2019-12-03T18:14:00.000Z","Content Services Travel Protection XML","1288",,"0",
"2019-12-03T18:14:00.000Z","German Tour","20",,"1",
"2019-12-03T18:14:00.000Z","GetThere GTX2","631",,"47",
"2019-12-03T18:14:00.000Z","Master Configuration Tool",,,"65",
"2019-12-03T18:14:00.000Z","Payment FraudCheck Service","364",,,
"2019-12-03T18:14:00.000Z","Payment Internet Payment Engine","900",,"2",
"2019-12-03T18:14:00.000Z","Payment Merchant Services Fees Push Service","19",,,
"2019-12-03T18:14:00.000Z","Payment Merchant Services Fees Query Service","15",,"0",
"2019-12-03T18:14:00.000Z","Payment Merchant Services Fees Sale Service","7",,,
"2019-12-03T18:14:00.000Z","Payment Merchant Services Fees VoidRefund Service","0",,,
"2019-12-03T18:14:00.000Z","Payment PSS Service","712",,"58",
"2019-12-03T18:14:00.000Z","Payment Processor Service","760",,"121",
"2019-12-03T18:14:00.000Z","Payment Query Service","116",,"5",
"2019-12-03T18:14:00.000Z","Payment Remote Service","118",,"0",
"2019-12-03T18:14:00.000Z","REST Application Facade","0",,,
"2019-12-03T18:14:00.000Z","Red App Center",,,"0",
"2019-12-03T18:14:00.000Z","SHS CCRS Universal Message Broker","36.04344694410461",,,
"2019-12-03T18:14:00.000Z","SRW Sabre Red Workspace","80.5",,"5",
"2019-12-03T18:14:00.000Z","SSW Digital Experience AWS","1",,"2",
"2019-12-03T18:14:00.000Z","SSW Service Engine","902",,"273",
"2019-12-03T18:14:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:14:00.000Z","Sabre Geographical Services","6",,,
"2019-12-03T18:14:00.000Z","Sabre Web Services","415",,"6045",
"2019-12-03T18:14:00.000Z","Service Health Portal","345.1538433594885","97.33333333333333","90.66666666666667",
"2019-12-03T18:14:00.000Z","T2 Agent Sales Report","41",,"3",
"2019-12-03T18:14:00.000Z","T2 Data Management Services","80",,"53",
"2019-12-03T18:14:00.000Z","T2 EMD Comp Voucher","0",,,
"2019-12-03T18:14:00.000Z","T2 Electronic Tktng HUB","184",,"90",
"2019-12-03T18:14:00.000Z","T2 Ticketing Domain Services","444",,"50",
"2019-12-03T18:14:00.000Z","T2 Web Services","222",,,"222"
"2019-12-03T18:14:00.000Z","UPSITE","18",,"167",
"2019-12-03T18:14:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","10",,,
"2019-12-03T18:15:00.000Z","ANCS Ancillary Services 1","5",,,
"2019-12-03T18:15:00.000Z","CENTIVA","37",,"37",
"2019-12-03T18:15:00.000Z","CKI Check-In Services","204",,"1401",
"2019-12-03T18:15:00.000Z","CKI Event Manager","185",,"7",
"2019-12-03T18:15:00.000Z","CKI Host Event Handler","199",,"0",
"2019-12-03T18:15:00.000Z","Community Portal","21",,"10",
"2019-12-03T18:15:00.000Z","Content Services Travel Protection XML","5667",,"0",
"2019-12-03T18:15:00.000Z","German Tour","21",,"0",
"2019-12-03T18:15:00.000Z","GetThere GTX2","571",,"72",
"2019-12-03T18:15:00.000Z","Master Configuration Tool",,,"66",
"2019-12-03T18:15:00.000Z","Payment FraudCheck Service","366",,,
"2019-12-03T18:15:00.000Z","Payment Internet Payment Engine","989",,"0",
"2019-12-03T18:15:00.000Z","Payment Merchant Services Fees Push Service","18",,,
"2019-12-03T18:15:00.000Z","Payment Merchant Services Fees Query Service","12",,"2",
"2019-12-03T18:15:00.000Z","Payment Merchant Services Fees Sale Service","6",,,
"2019-12-03T18:15:00.000Z","Payment Merchant Services Fees VoidRefund Service","0",,,
"2019-12-03T18:15:00.000Z","Payment PSS Service","696",,"77",
"2019-12-03T18:15:00.000Z","Payment Processor Service","726",,"110",
"2019-12-03T18:15:00.000Z","Payment Query Service","159",,"4",
"2019-12-03T18:15:00.000Z","Payment Remote Service","17",,"0",
"2019-12-03T18:15:00.000Z","REST Application Facade","22",,,
"2019-12-03T18:15:00.000Z","Red App Center",,,"0",
"2019-12-03T18:15:00.000Z","SHS CCRS Universal Message Broker","51.00081645562435",,,
"2019-12-03T18:15:00.000Z","SRW Sabre Red Workspace","77.5",,"5",
"2019-12-03T18:15:00.000Z","SSW Digital Experience AWS","1",,"0",
"2019-12-03T18:15:00.000Z","SSW Service Engine","957",,"228",
"2019-12-03T18:15:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:15:00.000Z","Sabre Geographical Services","7",,,
"2019-12-03T18:15:00.000Z","Sabre Web Services","433",,"5337",
"2019-12-03T18:15:00.000Z","Service Health Portal","365.06161808032255","90","89.33333333333333",
"2019-12-03T18:15:00.000Z","T2 Agent Sales Report","42",,"8",
"2019-12-03T18:15:00.000Z","T2 Data Management Services","93",,"36",
"2019-12-03T18:15:00.000Z","T2 EMD Comp Voucher","0",,,
"2019-12-03T18:15:00.000Z","T2 Electronic Tktng HUB","186",,"42",
"2019-12-03T18:15:00.000Z","T2 Ticketing Domain Services","460",,"40",
"2019-12-03T18:15:00.000Z","T2 Web Services","236",,,"236"
"2019-12-03T18:15:00.000Z","UPSITE","275",,"107",
"2019-12-03T18:15:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","7",,,
