"Time";"Transaction Count";"Upper Threshold";"Lower Trend";"Upper Trend";"Lower Threshold"
"2019-12-17T06:59:00 -06:00";null;null;null;null;null
"2019-12-17T07:00:00 -06:00";563418;-1;401074.96;749987.62;-1
"2019-12-17T07:01:00 -06:00";558268;-1;401088.32;750000.98;-1
"2019-12-17T07:02:00 -06:00";558138;-1;401100.94;750013.6;-1
"2019-12-17T07:03:00 -06:00";558092;-1;401110.02;750022.68;-1
"2019-12-17T07:04:00 -06:00";558025;-1;401112.76;750025.42;-1
"2019-12-17T07:05:00 -06:00";563863;-1;394885.45;743658.15;-1
"2019-12-17T07:06:00 -06:00";563800;-1;394306.77;743079.46;-1
"2019-12-17T07:07:00 -06:00";563859;-1;393802.89;742575.58;-1
"2019-12-17T07:08:00 -06:00";557982;-1;393426.02;742198.72;-1
"2019-12-17T07:09:00 -06:00";563680;-1;393190.08;741962.78;-1
"2019-12-17T07:10:00 -06:00";558084;-1;393053.03;741825.72;-1
"2019-12-17T07:11:00 -06:00";557993;-1;392983.15;741755.84;-1
"2019-12-17T07:12:00 -06:00";563888;-1;392948.73;741721.42;-1
"2019-12-17T07:13:00 -06:00";558033;-1;392918.06;741690.76;-1
"2019-12-17T07:14:00 -06:00";558031;-1;392859.44;741632.13;-1
"2019-12-17T07:15:00 -06:00";557995;-1;392833.77;741606.46;-1
"2019-12-17T07:16:00 -06:00";563864;-1;392897.64;741670.33;-1
"2019-12-17T07:17:00 -06:00";563840;-1;393012.82;741785.51;-1
"2019-12-17T07:18:00 -06:00";563871;-1;393141.1;741913.8;-1
"2019-12-17T07:19:00 -06:00";557978;-1;393244.27;742016.97;-1
"2019-12-17T07:20:00 -06:00";558003;-1;393284.11;742056.81;-1
"2019-12-17T07:21:00 -06:00";563894;-1;393277.1;742049.8;-1
"2019-12-17T07:22:00 -06:00";558127;-1;393266.95;742039.65;-1
"2019-12-17T07:23:00 -06:00";563756;-1;393256.25;742028.95;-1
"2019-12-17T07:24:00 -06:00";563837;-1;393247.61;742020.31;-1
"2019-12-17T07:25:00 -06:00";558052;-1;393243.63;742016.32;-1
"2019-12-17T07:26:00 -06:00";563841;-1;393247.24;742019.94;-1
"2019-12-17T07:27:00 -06:00";563871;-1;393257.61;742030.31;-1
"2019-12-17T07:28:00 -06:00";558068;-1;393271.64;742044.34;-1
"2019-12-17T07:29:00 -06:00";563879;-1;393286.24;742058.94;-1
"2019-12-17T07:30:00 -06:00";563944;-1;393298.32;742071.02;-1
"2019-12-17T07:31:00 -06:00";558033;-1;393304.8;742077.5;-1
"2019-12-17T07:32:00 -06:00";558081;-1;393305.65;742078.35;-1
"2019-12-17T07:33:00 -06:00";558058;-1;393303.65;742076.34;-1
"2019-12-17T07:34:00 -06:00";558033;-1;393299.89;742072.59;-1
"2019-12-17T07:35:00 -06:00";563903;-1;393295.49;742068.19;-1
"2019-12-17T07:36:00 -06:00";558174;-1;393291.56;742064.25;-1
"2019-12-17T07:37:00 -06:00";563857;-1;393285.8;742058.5;-1
"2019-12-17T07:38:00 -06:00";558089;-1;393276.64;742049.34;-1
"2019-12-17T07:39:00 -06:00";563904;-1;393266.23;742038.93;-1
"2019-12-17T07:40:00 -06:00";558040;-1;393256.72;742029.42;-1
"2019-12-17T07:41:00 -06:00";563825;-1;393250.25;742022.95;-1
"2019-12-17T07:42:00 -06:00";558127;-1;393248.98;742021.67;-1
"2019-12-17T07:43:00 -06:00";558121;-1;393256.83;742029.53;-1
"2019-12-17T07:44:00 -06:00";558056;-1;393272.71;742045.4;-1
"2019-12-17T07:45:00 -06:00";558131;-1;393291.18;742063.87;-1
"2019-12-17T07:46:00 -06:00";558113;-1;393306.83;742079.53;-1
"2019-12-17T07:47:00 -06:00";558014;-1;393314.25;742086.94;-1
"2019-12-17T07:48:00 -06:00";563954;-1;393311.83;742084.53;-1
"2019-12-17T07:49:00 -06:00";563999;-1;393303.36;742076.06;-1
"2019-12-17T07:50:00 -06:00";558105;-1;393291.49;742064.18;-1
"2019-12-17T07:51:00 -06:00";563969;-1;393278.84;742051.54;-1
"2019-12-17T07:52:00 -06:00";558083;-1;393268.08;742040.77;-1
"2019-12-17T07:53:00 -06:00";563914;-1;393261.83;742034.52;-1
"2019-12-17T07:54:00 -06:00";563969;-1;393259.16;742031.85;-1
"2019-12-17T07:55:00 -06:00";558188;-1;393257.46;742030.16;-1
"2019-12-17T07:56:00 -06:00";564006;-1;393256.92;742029.61;-1
"2019-12-17T07:57:00 -06:00";563878;-1;393257.68;742030.37;-1
"2019-12-17T07:58:00 -06:00";558157;-1;393259.92;742032.61;-1
"2019-12-17T07:59:00 -06:00";558135;-1;393266.24;742038.93;-1
"2019-12-17T08:00:00 -06:00";558118;-1;393277.31;742050.01;-1
"2019-12-17T08:01:00 -06:00";564088;-1;393290.4;742063.09;-1
"2019-12-17T08:02:00 -06:00";564103;-1;393302.75;742075.45;-1
"2019-12-17T08:03:00 -06:00";558232;-1;393311.63;742084.33;-1
"2019-12-17T08:04:00 -06:00";564101;-1;393314.3;742087;-1
"2019-12-17T08:05:00 -06:00";563993;-1;403140.45;751741.12;-1
"2019-12-17T08:06:00 -06:00";564160;-1;403303.69;751904.35;-1
"2019-12-17T08:07:00 -06:00";564048;-1;403448.66;752049.32;-1
"2019-12-17T08:08:00 -06:00";558212;-1;403569.06;752169.72;-1
"2019-12-17T08:09:00 -06:00";564038;-1;403657.6;752258.27;-1
"2019-12-17T08:10:00 -06:00";564025;-1;403717.15;752317.82;-1
"2019-12-17T08:11:00 -06:00";563848;-1;403756.58;752357.25;-1
"2019-12-17T08:12:00 -06:00";564006;-1;403784.77;752385.44;-1
"2019-12-17T08:13:00 -06:00";564023;-1;403810.6;752411.26;-1
"2019-12-17T08:14:00 -06:00";564039;-1;403842.94;752443.61;-1
"2019-12-17T08:15:00 -06:00";564016;-1;403860.88;752461.54;-1
"2019-12-17T08:16:00 -06:00";564012;-1;403846.19;752446.86;-1
"2019-12-17T08:17:00 -06:00";564027;-1;403811.82;752412.48;-1
"2019-12-17T08:18:00 -06:00";558205;-1;403770.68;752371.34;-1
"2019-12-17T08:19:00 -06:00";558176;-1;403735.71;752336.38;-1
"2019-12-17T08:20:00 -06:00";564011;-1;403719.85;752320.51;-1
"2019-12-17T08:21:00 -06:00";564063;-1;403711.52;752312.18;-1
"2019-12-17T08:22:00 -06:00";558217;-1;403694.5;752295.17;-1
"2019-12-17T08:23:00 -06:00";564107;-1;403674.75;752275.42;-1
"2019-12-17T08:24:00 -06:00";558207;-1;403658.22;752258.88;-1
"2019-12-17T08:25:00 -06:00";564078;-1;403650.85;752251.51;-1
"2019-12-17T08:26:00 -06:00";558270;-1;403654.54;752255.2;-1
"2019-12-17T08:27:00 -06:00";558317;-1;403665.11;752265.77;-1
"2019-12-17T08:28:00 -06:00";558176;-1;403679.42;752280.08;-1
"2019-12-17T08:29:00 -06:00";564039;-1;403694.3;752294.97;-1
